timevote,subgroup,id,moment,student,gender,age,thermalsatisfaction,iaqsatisfaction,acousticsatisfaction,visualsatisfaction,ieqsatisfaction,clo_simple,activity,thermal_warm,thermal_cold,thermal_draft,thermal_other,iaq_stuffy,iaq_odour,iaq_dry,iaq_humid,iaq_other,ac_classroom,ac_hallway,ac_device,ac_outside,ac_other,vis_blackboard,vis_underexposure,vis_overexposure,vis_glare,vis_other,locationback,locationfront,troom,rh,co2,voc,sound,lighting,ea,ttrend,trm,locationleft,locationright,locationmiddle,groupobs,windowmajority,windowsclosed,activitymajority,time_troom,time_rh,time_co2,time_ea,time_trend,time_sound,time_voc,time_lighting,casestudy,clo_detailed,ac_ventilation,af
22/11/2021 10:09,E,PS_E8,End,True,female,11.0,4,5,5,4,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:11,PrimarySchool,,,
22/11/2021 10:10,E,PS_E2,End,True,female,10.0,3,4,4,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,True,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:11,PrimarySchool,,,
22/11/2021 10:10,E,PS_E7,End,True,female,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.8,44.0,731,,64.0,256.2,37.69,0.2,,False,False,False,,,False,,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,22/11/2021 10:10,,22/11/2021 10:11,PrimarySchool,,,
22/11/2021 10:36,E,PS_E3,Start,True,female,11.0,3,3,3,2,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,True,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,True,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E13,Start,True,male,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,False,True,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E11,Start,True,female,11.0,5,5,1,5,4,Neutral,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,True,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,False,True,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E6,Start,True,female,11.0,5,5,5,5,5,Warmly,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,True,False,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E1,Start,True,male,11.0,3,3,3,3,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,True,False,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E8,Start,True,female,11.0,4,5,4,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,False,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E14,Start,True,female,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,True,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E12,Start,True,female,11.0,2,5,5,3,4,Warmly,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,False,True,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:36,E,PS_E4,Start,True,male,12.0,3,4,3,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,True,False,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:37,E,PS_E9,Start,True,female,11.0,3,4,3,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,True,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:37,E,PS_E7,Start,True,female,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,False,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:37,E,PS_E2,Start,True,female,10.0,3,4,4,4,4,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,False,True,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:37,E,PS_E5,Start,True,female,11.0,5,5,5,5,5,Neutral,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,True,False,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 10:38,E,PS_E10,Start,True,female,11.0,2,3,3,3,3,Warmly,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,20.5,43.0,489,,63.0,256.2,36.691,0.2,,False,True,True,,,False,,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,22/11/2021 10:36,,22/11/2021 10:36,PrimarySchool,,,
22/11/2021 13:31,E,PS_E6,Start,True,female,11.0,5,5,5,4,4,Warmly,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,20.2,40.0,444,,67.0,256.2,34.97,0.2,,True,False,False,,,False,,22/11/2021 13:32,22/11/2021 13:32,22/11/2021 13:32,22/11/2021 13:32,22/11/2021 13:32,22/11/2021 13:32,,22/11/2021 13:31,PrimarySchool,,,
